rank,theta_filter,min_size_frac,max_depth,retention_rate,mean_leaves,mean_depth,mean_residual_ndfu,mean_top_split_prg,indeterminate_rate,dims_never_used
1,0.3,0.03,8,0.10606060606060606,5.3619047619047615,1.9662522202486679,0.3416678413944575,0.1366079457000914,0.12966252220248667,[]
2,0.2,0.02,8,0.18181818181818182,5.583333333333333,1.9651741293532339,0.3105993585272335,0.11434290964579173,0.11343283582089553,[]
3,0.2,0.02,4,0.18181818181818182,5.583333333333333,1.9651741293532339,0.3105993585272335,0.11434290964579173,0.11343283582089553,[]
4,0.4,0.03,4,0.05656565656565657,5.107142857142857,1.965034965034965,0.3768728933842562,0.171699067618979,0.13636363636363635,[]
5,0.4,0.02,8,0.05656565656565657,5.107142857142857,1.965034965034965,0.3768728933842562,0.171699067618979,0.13636363636363635,[]
