rank,theta_filter,min_size_frac,max_depth,retention_rate,mean_leaves,mean_depth,mean_residual_ndfu,mean_top_split_prg,indeterminate_rate,dims_never_used
1,0.3,0.03,8,0.08,6.964285714285714,2.358974358974359,0.3512239236882775,0.140988093236565,0.08717948717948718,[]
2,0.2,0.02,8,0.13714285714285715,6.729166666666667,2.4922600619195046,0.30715280775869197,0.11243568921970515,0.09907120743034056,[]
3,0.2,0.02,4,0.13714285714285715,6.729166666666667,2.4922600619195046,0.30715280775869197,0.11243568921970515,0.09907120743034056,[]
4,0.4,0.03,4,0.06285714285714286,7.090909090909091,2.41025641025641,0.35437153613644135,0.16372884658817902,0.07692307692307693,[]
5,0.4,0.02,8,0.06285714285714286,7.909090909090909,2.5977011494252875,0.3264334480157768,0.16372884658817902,0.09770114942528736,[]
