n_s,mean_prg
1,0.6243230625583567
1,0.6243230625583567
2,0.604009172058855
3,0.5918547691157089
3,0.5918547691157089
1,0.43137254901960775
9,0.36869015356820234
9,0.36869015356820234
3,0.31595853643274124
1,0.3125
1,0.3026315789473685
3,0.2914363143631436
4,0.28534313725490196
2,0.2849503437738732
6,0.2682693267722151
1,0.26208791208791204
1,0.26208791208791204
1,0.2597402597402597
1,0.2597402597402597
3,0.24576953278260982
3,0.23688555283224402
3,0.23688555283224402
3,0.23666666666666666
1,0.21758050478677105
1,0.21758050478677105
2,0.21571906354515052
4,0.2133784503384687
2,0.21298480083857435
2,0.2114035087719299
1,0.20467836257309943
1,0.20238095238095238
1,0.20238095238095238
3,0.18151215500421372
1,0.17019822282980177
1,0.17019822282980177
1,0.17019822282980177
2,0.1625
1,0.15972222222222215
6,0.15859530630718274
10,0.1528206289081255
1,0.14918032786885238
4,0.1435032446369353
6,0.1414747647585085
6,0.1414747647585085
9,0.13989062478324976
1,0.13852813852813858
3,0.13275195208925927
1,0.13192496493688644
4,0.1301587301587302
2,0.12653092653092662
2,0.12653092653092662
3,0.125925925925926
3,0.11876045256247726
1,0.1178353901524367
4,0.11745861781013632
2,0.11629880000955692
5,0.11218683985430374
2,0.1111946532999165
1,0.11053311197196096
1,0.11053311197196096
1,0.10586176727909008
2,0.10310325978930632
2,0.10310325978930632
3,0.10234414602424786
2,0.09673966225981506
2,0.09673966225981506
1,0.09166666666666665
2,0.07892998660874016
1,0.07619047619047631
1,0.07603972687771567
