n_s,frac_toxic,frac_civil
22,0.13636363636363635,0.8636363636363636
14,1.0,0.0
14,0.07142857142857142,0.9285714285714286
10,0.0,1.0
10,0.1,0.9
9,0.4444444444444444,0.5555555555555556
9,0.5555555555555556,0.4444444444444444
8,0.0,1.0
8,0.625,0.375
8,0.625,0.375
7,0.0,1.0
6,1.0,0.0
6,1.0,0.0
6,0.8333333333333334,0.16666666666666666
5,0.6,0.4
5,0.0,1.0
4,0.25,0.75
4,0.25,0.75
4,0.75,0.25
4,0.0,1.0
4,0.75,0.25
3,0.0,1.0
3,0.3333333333333333,0.6666666666666666
3,0.6666666666666666,0.3333333333333333
3,0.0,1.0
3,0.0,1.0
3,0.3333333333333333,0.6666666666666666
3,0.3333333333333333,0.6666666666666666
3,0.3333333333333333,0.6666666666666666
3,0.0,1.0
3,0.0,1.0
3,0.3333333333333333,0.6666666666666666
3,0.6666666666666666,0.3333333333333333
3,0.6666666666666666,0.3333333333333333
3,0.0,1.0
3,0.0,1.0
3,0.0,1.0
3,1.0,0.0
3,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,1.0,0.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,1.0,0.0
2,0.5,0.5
2,1.0,0.0
2,0.0,1.0
2,0.5,0.5
2,0.5,0.5
2,1.0,0.0
2,0.0,1.0
2,1.0,0.0
2,0.5,0.5
2,0.0,1.0
2,0.5,0.5
2,0.5,0.5
2,0.0,1.0
2,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,0.0,1.0
1,1.0,0.0
1,1.0,0.0
1,0.0,1.0
1,1.0,0.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,1.0,0.0
1,0.0,1.0
1,1.0,0.0
1,1.0,0.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,1.0,0.0
1,0.0,1.0
1,1.0,0.0
1,0.0,1.0
1,1.0,0.0
