n_s,mean_prg
1,0.6243230625583567
2,0.604009172058855
3,0.5918547691157089
3,0.5918547691157089
1,0.45217391304347826
14,0.3142370139230544
4,0.31250402083808504
1,0.3125
13,0.3101387138778155
4,0.30729166666666674
4,0.30729166666666674
4,0.30530845736541934
4,0.297985347985348
3,0.2914363143631436
2,0.27323145604395604
6,0.2682693267722151
1,0.26208791208791204
8,0.25857990396350805
6,0.2559550615111043
1,0.25000000000000006
2,0.25000000000000006
7,0.24075325066821587
10,0.2312968814131605
3,0.2309010920511622
4,0.21841502151099668
1,0.21758050478677105
3,0.21038011695906436
4,0.20833333333333337
1,0.20833333333333331
1,0.20467836257309943
8,0.19628823729684133
3,0.1944444444444445
9,0.19023015313712988
3,0.1822541344400428
3,0.18151215500421372
3,0.18011622888148968
5,0.1707291141123981
1,0.17019822282980177
1,0.17019822282980177
3,0.1670356042696469
1,0.15972222222222215
9,0.14999504459555463
11,0.14520774876815237
1,0.14296814296814292
6,0.1414747647585085
2,0.14015151515151514
1,0.13192496493688644
1,0.13185654008438807
1,0.13185654008438807
4,0.12673630942431677
2,0.12653092653092662
2,0.12653092653092662
3,0.125925925925926
3,0.125925925925926
3,0.12222222222222223
4,0.11745861781013632
4,0.11683370090904974
2,0.11629880000955692
3,0.11560846560846565
1,0.11413043478260868
5,0.11218683985430374
14,0.11172659042635748
2,0.1111946532999165
1,0.11053311197196096
1,0.10586176727909008
2,0.10452763972982283
1,0.1025641025641025
3,0.10234414602424786
3,0.10206883985953752
3,0.10206883985953752
10,0.10012325245271259
2,0.09739057239057235
2,0.09673966225981506
2,0.08826673771368924
1,0.08707482993197281
1,0.08707482993197281
3,0.0786887109344523
2,0.07802287581699348
1,0.07792207792207792
1,0.07619047619047631
1,0.07603972687771567
2,0.07222222222222227
3,0.07199143764118343
2,0.06258503401360546
2,0.061034069648494185
2,0.061034069648494185
2,0.0591153713254601
1,0.04666666666666667
1,0.038095238095238106
1,0.031027795733678077
