n_s,mean_prg
1,0.75
1,0.5333333333333333
1,0.4363636363636363
1,0.4363636363636363
4,0.39826097105508873
4,0.39826097105508873
3,0.3520923520923522
2,0.3186147186147187
3,0.3180555555555556
3,0.31073065625018814
10,0.30130290588282393
9,0.29728526609290773
4,0.28101551226551225
4,0.2735049070892618
5,0.2697063492063492
1,0.26666666666666666
1,0.26666666666666666
1,0.25000000000000006
1,0.25000000000000006
1,0.25000000000000006
3,0.24124134800618924
3,0.22923280423280423
2,0.2219985766405484
2,0.2219985766405484
15,0.2199358542234049
21,0.21648873103149863
6,0.20780180840664716
8,0.207319361708189
5,0.20479020979020976
6,0.202446436667627
24,0.19891115223544856
6,0.19813492063492066
2,0.19386823222439664
23,0.19288721694168243
1,0.1904761904761905
9,0.18686800965858802
13,0.1847696322625853
2,0.18000000000000005
2,0.18000000000000005
9,0.17599908696377378
1,0.17496229260935145
15,0.17307812573868506
10,0.17036617077697114
3,0.16746031746031742
3,0.16746031746031742
7,0.1649685258718873
6,0.16456866372279902
1,0.16172506738544468
9,0.15739146891469138
7,0.1552983754596658
38,0.15169010684199638
2,0.15064764097271843
9,0.14988292752998636
2,0.1450997319408227
2,0.1450997319408227
17,0.14301910195026205
10,0.1423365955751685
12,0.14204655428697763
18,0.13890374906008607
24,0.1372464229025577
12,0.13566677619776935
2,0.1349206349206349
2,0.1349206349206349
13,0.12311876908047018
11,0.12193995976274219
1,0.12106537530266348
1,0.12106537530266348
12,0.11712747708985334
6,0.11096560846560845
6,0.11096560846560845
6,0.10819838224445323
1,0.10666666666666665
1,0.10416666666666666
6,0.10167278219372496
2,0.1009604476355679
1,0.10000000000000003
15,0.09755446209963965
1,0.09661835748792255
2,0.09659129569843858
1,0.0793082149474985
1,0.0793082149474985
1,0.07558790593505041
1,0.07168530601510349
2,0.06890538470602091
2,0.05416666666666663
1,0.038095238095238106
1,0.038095238095238106
