n_s,mean_prg
1,0.5333333333333333
2,0.4840909090909091
5,0.4366666666666667
5,0.43227172708344624
2,0.40131434830230006
5,0.368608776844071
3,0.3520923520923522
6,0.3463153948448066
3,0.34393178775708894
24,0.33613771327619363
29,0.2988923196575265
17,0.2732572111553744
1,0.26666666666666666
20,0.25553447153960085
6,0.2543938575565082
1,0.25000000000000006
4,0.24406232413595508
1,0.22916666666666677
3,0.22828282828282834
2,0.2219985766405484
2,0.22081447963800904
9,0.21682686654908878
29,0.20499584674793844
5,0.20479020979020976
9,0.1968290460132447
11,0.19660028930556794
2,0.19386823222439664
34,0.1925132855038187
1,0.1904761904761905
4,0.1809336121836122
10,0.180136712749616
2,0.18000000000000005
2,0.18000000000000005
10,0.17947186073809823
9,0.1764930292700753
10,0.17595511630526214
13,0.17532270596786728
2,0.175
22,0.17319590836970516
2,0.17112728630085855
9,0.16858241471979615
3,0.16746031746031742
3,0.16746031746031742
3,0.16744115355026404
2,0.16666666666666669
1,0.16172506738544468
26,0.15939290265024875
57,0.15743082329973024
55,0.15514981976243583
12,0.15297989667666137
14,0.15285598172083917
2,0.14874501656465836
3,0.14846688340664238
3,0.14846688340664238
1,0.14814814814814814
2,0.1450997319408227
2,0.1450997319408227
1,0.14074074074074075
10,0.13922587695365224
26,0.1328399942684787
21,0.1301599250331989
12,0.12862761680037393
3,0.126984126984127
79,0.12374249868369887
26,0.12108300450949444
42,0.11825077973998208
14,0.11477494829757227
10,0.11136019674937532
53,0.10952180798361016
3,0.10907373595712093
14,0.10897822649507445
7,0.10735827664399092
7,0.10735827664399092
1,0.10666666666666665
37,0.1066385967207166
1,0.10416666666666666
20,0.10341210479679441
2,0.1009604476355679
1,0.10000000000000003
1,0.10000000000000003
1,0.10000000000000003
9,0.09749184336644043
1,0.09661835748792255
1,0.08333333333333331
1,0.08333333333333331
2,0.08136602098466507
1,0.0793082149474985
3,0.07879266875083905
4,0.07504802511656948
1,0.07168530601510349
2,0.06890538470602091
3,0.0681329028786656
2,0.0654761904761905
3,0.048503867158133235
2,0.04823472794026498
1,0.038095238095238106
1,0.038095238095238106
1,0.030242605516783018
